FinalWgt,CR1,CR2,KWR3,KWR4,OR1,KWR6,KWR7,CR5,CR6,CR7,CR8,KWR12,CR9,CR10,CR11,CR12,CR13,CR14,CR15,CR16,CR17,CR18,CR19,CR20,CR21,CR22,CR23,CR24,CR25,KWR30,CR27,CR28,OR23,KWR34,OR24,CR30,CR31,OR31,OR25,CR32,CR33,CR34,CR35,CR36,CR37,CR38,CR39,CR40,CR41,CR42,CR43,SR1,SR2,SR3,SR4,SR5,SR6,SR7,KWR59,SR9,SR10,SR11,SR12,SR13,SR14,SLR1,SLR2,SLR3,SLR4,SLR5,SLR6,SLR7,SLR8,SLR9,SLR10,SLR11,SLR13,SLR14,SLR15,SLR16,SLR17,ELR1,KWR83,OR45,OR46,OR47,OR48,OR49,OR53,OR55,OR57,OR58,OR59,OR60,OR61,Stratum,PSU
43.67827633,3,2,1,6,3,8,7,1,5,2,3,8,1,1,3,3,1,1,4,4,4,6,2,4,4,1,3,1,1,,,2,4,4,2,1,2,1,2,1,3,2,2,2,2,1,4,4,4,3,3,2,1,1,1,1,1,1,1,2,3,1,1,2,5,5,1,1,1,1,1,,1,3,2,,1,4,1,3,3,2,2,2,1,1,3,3,2,1,,1,3,2,1,201601003,6
43.67827633,4,2,1,4,4,8,8,2,1,1,1,1,2,2,1,1,2,2,1,1,3,3,1,2,2,2,4,1,1,1,1,1,5,4,2,1,1,2,1,3,3,2,2,3,2,2,1,3,3,3,4,2,1,1,1,1,1,4,1,1,3,1,3,3,5,1,1,1,1,1,1,1,1,1,1,1,2,1,3,3,5,1,2,1,1,4,2,2,4,1,3,3,3,3,1,201601003,6
43.67827633,4,2,1,5,3,,6,2,1,1,1,2,,,1,2,1,1,2,1,2,2,4,2,2,1,2,1,2,4,1,1,1,4,2,2,1,1,2,3,1,2,3,3,2,2,1,1,1,2,4,2,1,1,1,4,4,1,1,1,3,1,3,2,5,1,1,1,1,1,1,4,1,1,1,1,2,1,3,2,5,2,2,3,2,2,3,1,4,1,3,3,4,4,,201601003,6
43.67827633,4,2,1,6,3,6,6,1,5,2,3,3,1,1,3,3,2,2,2,4,4,3,3,2,2,2,2,2,2,2,3,2,3,3,2,1,2,1,2,1,2,1,2,3,2,2,4,4,1,3,1,,5,4,4,4,,1,4,3,3,4,1,2,2,4,3,2,3,3,4,4,4,3,5,2,2,4,2,1,,2,1,1,2,1,1,1,2,2,2,,1,4,2,201601003,6
43.67827633,5,2,1,4,4,8,5,2,1,1,1,1,2,2,1,1,2,2,1,1,1,1,3,1,1,2,3,2,2,1,1,1,5,4,2,2,3,3,2,3,3,2,3,3,2,2,2,2,2,3,4,2,1,1,1,1,1,2,1,1,3,2,2,2,4,1,1,1,1,1,1,1,4,4,1,3,2,2,2,3,5,2,2,3,1,4,3,2,3,1,2,2,4,4,1,201601003,6
49.28861034,4,1,2,3,1,8,4,1,5,,,2,2,2,3,8,1,2,2,2,3,3,3,5,2,1,1,2,2,,1,1,3,3,2,1,1,3,1,2,2,2,2,2,2,2,4,3,3,1,3,1,5,1,1,2,2,2,1,1,2,4,3,1,2,5,3,4,3,7,3,4,3,1,1,1,2,,,,2,2,1,2,2,2,3,1,3,,2,2,4,4,2,201601003,6
55.54612087,4,1,2,4,3,1,4,,1,4,4,6,1,,3,6,,,3,2,1,4,3,2,3,,4,,,,3,4,,,,,,,,,2,,,3,,,,,,3,,,2,3,5,1,4,4,6,,,,,,3,4,6,4,2,2,3,4,2,4,5,2,,2,,2,3,1,,4,1,2,,2,3,,,3,2,2,2,201601003,6
17.72749702,3,2,1,1,3,8,6,2,1,1,1,1,2,2,1,1,2,2,1,1,1,1,3,3,3,1,4,2,2,1,1,1,4,4,1,1,3,2,1,1,1,2,3,3,2,2,1,1,4,1,5,1,2,1,1,2,2,4,1,1,3,1,4,1,5,1,1,1,1,1,1,1,1,1,1,1,2,1,4,1,5,1,2,5,1,4,3,3,4,1,2,1,4,4,1,201601004,7
17.72749702,3,2,1,2,1,8,8,2,1,1,1,1,,,1,1,2,2,1,1,1,1,1,1,1,2,1,2,2,1,1,1,5,4,2,2,3,2,1,1,2,3,3,3,2,2,1,1,3,3,4,2,1,1,1,1,1,3,1,1,1,1,4,3,4,1,1,1,1,1,1,1,1,1,1,1,2,1,4,2,4,1,2,3,1,4,1,2,4,2,2,2,4,4,1,201601004,7
17.72749702,3,2,1,2,3,6,6,2,1,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,2,4,1,1,1,1,1,5,4,2,2,1,3,2,3,3,3,3,2,2,2,1,1,4,2,5,2,1,1,1,1,1,3,1,1,3,1,4,2,5,1,1,1,1,1,1,1,1,1,1,1,2,1,4,2,5,1,2,3,1,4,1,2,4,2,2,2,3,3,1,201601004,7
17.72749702,3,2,1,2,3,6,6,2,1,1,1,1,2,2,1,1,2,2,1,1,1,1,5,3,2,2,4,1,1,1,1,1,5,4,1,1,1,2,2,1,1,2,3,3,2,2,1,1,3,3,4,2,1,1,1,1,1,4,1,1,3,1,2,2,5,1,1,1,1,1,1,1,1,1,1,1,2,1,2,3,4,1,2,2,1,4,3,3,4,2,3,3,3,3,1,201601004,7
17.72749702,3,2,1,3,1,3,5,2,1,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,4,1,1,1,2,1,1,1,2,2,3,2,2,1,1,2,2,4,2,1,1,1,1,1,4,1,1,1,1,4,2,4,1,1,1,1,1,1,1,1,1,1,1,2,1,1,3,4,1,2,1,1,4,1,2,4,1,1,1,3,3,1,201601004,7
17.72749702,3,2,1,3,3,4,6,1,1,1,1,1,2,2,1,1,2,2,1,1,1,1,5,2,1,2,4,1,1,1,1,1,5,4,1,1,1,2,2,1,1,2,1,3,2,2,3,2,3,3,5,2,1,1,1,1,1,4,1,1,3,2,2,3,5,1,1,1,1,1,1,1,1,1,1,1,2,2,3,2,5,1,2,3,1,4,3,3,4,1,3,3,3,3,1,201601004,7
17.72749702,3,2,1,3,3,6,6,1,1,1,1,1,2,2,1,1,2,2,1,1,1,1,1,2,2,2,4,1,2,1,1,1,2,3,2,2,2,3,1,1,3,3,3,3,2,2,1,1,4,3,1,2,1,1,1,1,1,3,1,1,1,1,4,3,2,1,1,1,1,1,1,1,1,1,1,1,2,1,4,3,5,1,2,1,1,4,3,3,4,2,2,2,3,3,1,201601004,7
17.72749702,3,2,1,3,3,7,7,2,1,1,1,1,2,2,1,1,2,2,1,1,1,1,1,2,2,2,4,1,1,1,1,1,5,4,1,1,3,2,2,1,1,2,3,3,2,2,1,1,3,2,5,2,1,1,1,1,1,4,1,1,3,1,3,2,5,1,1,1,1,1,1,1,1,1,1,1,2,1,3,2,5,1,2,1,1,4,2,2,4,1,3,3,3,3,1,201601004,7
17.72749702,3,2,1,3,3,8,6,2,1,1,1,1,2,2,1,1,2,2,4,4,1,1,1,1,1,2,4,2,2,1,1,1,5,4,1,1,1,1,2,3,3,1,1,3,2,2,1,1,1,2,5,2,1,1,1,1,1,4,1,1,3,1,1,2,5,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,5,2,2,1,1,4,2,2,4,2,2,2,4,4,1,201601004,7
17.72749702,3,2,1,3,4,5,5,2,1,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,5,4,1,2,3,3,2,3,2,3,3,3,,2,1,1,1,3,4,2,1,1,1,1,1,4,1,1,1,1,4,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,2,3,1,4,1,1,4,2,2,2,1,2,1,201601004,7
17.72749702,3,2,1,3,4,8,8,2,1,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,2,4,2,2,1,1,1,5,4,2,2,1,3,2,3,2,3,3,3,2,2,1,2,2,2,5,2,1,1,1,1,1,2,1,1,3,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,4,1,2,5,1,4,1,2,4,2,2,3,3,3,1,201601004,7
17.72749702,3,2,1,4,1,6,3,2,1,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,4,1,1,1,2,2,3,3,3,2,3,2,2,1,1,4,2,5,2,1,1,1,1,1,4,1,1,3,1,4,2,5,1,1,1,1,1,1,1,1,1,1,1,2,1,4,2,5,2,2,1,1,4,1,2,4,2,1,3,4,4,1,201601004,7
17.72749702,3,2,1,4,1,6,5,2,1,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,2,4,1,1,1,1,1,5,1,1,1,1,2,1,3,1,2,2,3,1,2,1,1,4,2,5,2,1,1,1,1,1,4,1,1,1,2,4,1,5,1,1,1,1,1,1,1,1,1,1,1,2,1,4,2,5,1,2,1,1,4,3,2,4,2,3,3,3,3,1,201601004,7
17.72749702,3,2,1,4,1,8,8,2,1,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,2,4,1,1,1,1,1,1,4,1,1,2,1,2,3,3,3,3,3,2,2,1,1,2,2,5,1,1,1,1,1,1,4,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,5,2,2,1,1,4,2,2,4,2,2,3,3,3,1,201601004,7
17.72749702,3,2,1,4,2,8,5,2,1,1,1,1,2,2,1,1,2,2,1,1,1,1,3,1,1,2,4,1,1,1,1,1,3,4,1,1,2,1,1,2,2,2,3,2,2,1,1,1,2,3,5,1,5,2,,2,3,2,2,3,3,3,2,3,4,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,5,1,2,2,2,4,3,2,4,2,2,2,3,3,2,201601004,7
17.72749702,3,2,1,4,3,5,5,2,1,1,1,1,2,2,2,1,1,2,3,1,1,1,1,1,1,1,4,1,2,1,1,1,5,4,2,1,2,1,1,1,1,3,3,3,,2,1,1,2,2,5,2,1,1,1,1,1,3,1,1,1,1,3,2,5,1,1,1,1,1,1,1,1,1,1,1,2,1,3,2,5,1,2,1,1,4,2,3,4,1,1,1,3,3,2,201601004,7
17.72749702,3,2,1,4,3,5,6,2,1,1,1,1,2,2,1,1,2,2,1,1,1,1,1,2,2,1,4,1,1,1,1,1,5,4,1,1,1,2,1,1,1,2,2,3,1,2,1,1,4,2,5,2,1,1,1,1,1,4,1,1,1,1,4,2,5,1,1,1,1,1,1,1,1,1,1,1,2,1,4,2,5,1,2,1,1,4,3,3,4,2,3,3,3,3,1,201601004,7
17.72749702,3,2,1,4,3,6,6,2,1,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,2,4,1,1,1,1,1,5,4,1,1,1,2,1,1,1,2,2,3,2,2,1,1,2,2,5,2,1,1,1,1,1,4,1,1,1,1,4,2,4,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,5,1,2,1,1,4,3,3,4,2,2,3,3,3,1,201601004,7
17.72749702,3,2,1,4,3,6,6,2,1,1,1,1,2,2,1,1,2,2,1,1,1,1,1,2,1,1,4,1,1,1,1,1,2,4,2,1,2,1,1,1,1,3,3,3,1,2,1,1,3,3,5,2,1,1,1,1,1,4,1,1,1,1,4,3,5,1,1,1,1,1,1,1,1,1,1,1,2,1,4,3,5,1,2,3,1,4,2,2,4,1,3,1,3,3,1,201601004,7
17.72749702,3,2,1,4,3,6,6,2,1,1,1,1,2,2,2,1,2,2,1,1,1,1,1,2,1,2,4,1,1,1,1,1,1,4,2,2,1,2,2,1,1,2,2,3,2,2,1,1,3,2,5,2,1,1,1,1,1,3,1,1,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,2,5,2,2,1,1,4,2,2,4,1,3,1,1,3,1,201601004,7
17.72749702,3,2,1,4,3,6,6,2,1,1,1,1,2,2,2,1,2,2,1,1,1,1,1,3,3,2,4,1,1,1,1,1,5,4,1,1,1,1,2,3,2,2,3,3,2,2,1,1,4,3,5,2,1,1,1,1,1,4,1,1,3,1,4,3,5,1,1,1,2,1,1,1,1,1,1,1,2,1,4,3,5,1,2,1,1,4,3,3,4,2,2,2,3,3,1,201601004,7
17.72749702,3,2,1,4,3,7,7,2,1,1,1,1,2,2,1,1,1,2,1,1,1,1,1,3,3,2,4,1,2,1,1,1,5,4,1,1,3,2,1,1,1,2,3,3,2,2,1,2,4,3,5,2,1,1,1,1,1,4,1,1,1,1,3,3,5,1,1,1,1,1,4,1,1,1,1,1,2,1,3,3,5,1,2,3,2,4,3,3,4,2,3,1,4,4,1,201601004,7
17.72749702,3,2,1,4,3,8,5,2,1,1,1,1,2,2,1,1,2,2,1,1,1,1,1,2,1,1,2,2,2,1,1,1,5,4,1,1,3,2,1,1,1,2,3,3,2,2,1,2,3,3,2,2,1,1,1,1,1,3,1,1,1,1,3,3,5,1,1,1,1,1,4,1,1,1,1,1,2,1,3,3,5,1,2,4,1,4,3,1,4,1,3,2,3,3,2,201601004,7
17.72749702,3,2,1,4,3,8,8,2,1,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,1,4,2,2,1,1,1,5,4,2,1,2,3,1,1,1,3,3,3,2,2,1,2,2,1,4,2,1,1,1,1,1,2,1,1,1,1,2,1,4,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,4,2,2,1,1,4,3,3,4,2,2,3,4,4,1,201601004,7
17.72749702,3,2,1,6,1,6,5,2,1,1,,2,2,2,,1,1,2,2,1,1,1,2,1,2,2,2,,1,1,1,1,,4,1,1,2,1,2,1,2,2,3,1,2,2,1,1,1,3,4,2,1,,1,1,1,4,1,1,1,1,4,,4,1,1,1,1,1,1,1,1,1,4,1,2,1,2,,4,1,2,2,1,4,3,1,4,2,,,,1,1,201601004,7
17.72749702,3,2,1,7,1,5,5,2,1,1,1,1,2,2,2,1,1,2,1,1,1,1,3,5,3,2,4,2,1,1,1,1,1,4,1,1,1,2,1,1,1,2,2,3,2,2,1,1,3,2,4,2,1,1,1,1,1,4,1,1,1,1,3,2,4,1,1,1,2,1,1,1,3,5,1,1,2,1,3,2,4,1,2,1,1,4,1,1,4,1,3,3,3,4,2,201601004,7
17.72749702,4,2,1,3,1,8,2,2,1,1,1,1,2,2,,1,2,2,1,1,1,1,1,1,1,2,4,1,1,1,1,1,5,4,1,1,1,2,2,3,3,3,3,3,1,2,1,1,4,2,5,2,1,1,1,1,1,4,1,1,3,1,3,2,5,1,1,1,1,1,1,1,1,1,1,1,2,1,4,2,5,2,2,1,1,4,3,2,4,2,2,1,3,3,1,201601004,7
18.40932382,2,2,1,3,1,5,5,2,1,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,2,4,1,2,1,1,1,5,4,1,1,1,3,,3,2,1,1,3,2,2,1,1,3,2,5,2,1,1,1,1,1,3,1,1,3,1,3,2,5,1,1,1,1,1,1,1,1,1,1,1,2,1,3,2,5,1,2,3,1,4,2,2,4,1,2,3,4,4,2,201601004,7
18.40932382,2,2,1,3,3,5,6,2,1,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,2,4,1,1,1,1,1,1,4,1,2,3,1,1,1,3,2,3,3,2,2,1,1,3,2,5,2,1,1,1,1,1,4,1,1,1,1,3,2,5,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,5,2,2,1,1,4,2,2,4,1,3,1,4,4,1,201601004,7
18.40932382,3,2,1,2,1,7,5,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,4,1,1,1,1,1,1,4,1,1,3,1,1,2,1,3,3,3,2,2,1,1,3,2,5,2,1,1,1,1,1,4,1,1,3,1,3,2,5,1,1,1,1,1,1,1,1,1,1,1,2,1,3,2,5,2,2,5,1,4,2,2,4,2,2,2,4,4,1,201601004,7
18.40932382,3,2,1,2,3,8,6,2,1,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,2,4,1,1,1,1,1,3,4,1,1,1,2,2,2,2,3,1,3,2,2,1,1,4,2,5,1,1,1,1,1,1,4,1,1,3,1,4,2,,1,1,1,1,1,1,1,1,1,1,1,2,1,4,2,5,1,2,1,3,2,3,2,4,1,2,2,,3,1,201601004,7
18.40932382,3,2,1,2,3,8,8,2,1,1,1,1,2,2,2,2,2,2,4,1,1,1,1,1,1,1,3,1,1,1,1,1,5,4,1,1,2,2,1,1,1,2,2,2,1,2,1,1,2,2,2,,2,1,1,4,1,3,1,1,1,1,3,2,5,1,1,1,2,2,4,1,1,1,1,1,2,1,3,2,4,2,2,3,1,4,2,2,4,2,1,1,4,4,1,201601004,7
18.40932382,3,2,1,3,1,7,5,2,1,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,2,4,1,1,1,1,1,5,4,1,1,1,2,2,3,3,2,3,3,2,2,1,1,3,2,5,2,1,1,1,1,1,4,1,1,3,1,2,2,5,1,1,1,1,1,1,1,1,1,1,1,2,1,3,2,5,2,2,1,1,4,3,3,4,2,3,3,3,3,1,201601004,7
18.40932382,3,2,1,3,2,3,6,2,1,1,1,1,2,2,2,1,2,2,1,1,1,1,1,1,1,2,4,1,1,1,1,1,1,4,1,2,2,2,2,1,1,2,3,3,2,2,1,1,3,3,5,2,1,1,1,1,1,4,1,1,1,1,3,3,5,1,1,1,1,1,1,1,1,1,1,1,2,1,3,3,5,1,2,1,1,4,2,2,4,2,2,1,4,4,1,201601004,7
18.40932382,3,2,1,3,2,3,7,2,1,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,2,4,1,1,1,1,1,1,4,2,1,1,3,2,2,2,3,3,2,2,2,1,1,3,2,5,2,1,1,1,1,1,4,1,1,3,1,3,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,5,1,2,1,1,4,2,2,4,2,2,3,3,3,1,201601004,7
18.40932382,3,2,1,3,2,8,5,2,1,1,1,1,,2,1,1,2,2,1,1,1,1,3,1,1,2,2,1,2,1,1,1,5,4,1,1,1,2,1,3,1,2,2,2,2,1,1,1,4,3,5,2,1,1,1,1,1,3,1,1,1,1,3,3,5,1,1,1,1,1,1,1,1,1,1,1,2,1,3,3,5,1,2,5,1,4,2,2,4,1,3,3,4,4,1,201601004,7
18.40932382,3,2,1,3,3,,5,2,1,1,1,1,2,2,1,1,2,2,1,1,1,1,5,5,5,2,3,2,2,1,1,1,4,3,1,1,2,2,2,2,1,2,3,2,1,2,3,2,4,1,3,1,2,2,1,2,2,3,1,1,3,4,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,2,4,2,4,1,1,5,1,4,2,2,4,2,3,1,4,4,2,201601004,7
18.40932382,3,2,1,3,3,5,7,2,1,1,1,1,2,2,2,1,2,2,1,1,1,1,3,4,2,2,4,1,2,1,1,1,2,4,2,1,2,2,2,1,1,2,1,3,2,2,1,1,3,2,5,2,1,1,1,1,1,4,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,2,3,1,4,2,2,4,1,2,1,4,4,1,201601004,7
18.40932382,3,2,1,3,3,8,6,2,1,1,1,1,2,2,1,1,2,2,1,1,1,1,2,2,2,2,3,1,1,1,1,1,5,4,1,1,1,1,1,3,1,2,3,3,2,2,1,1,3,2,5,2,1,1,1,1,1,3,1,1,3,1,2,2,5,1,1,1,1,1,1,1,1,1,1,1,2,1,3,2,5,1,2,1,1,4,2,2,4,2,3,1,1,4,1,201601004,7
18.40932382,3,2,1,3,5,4,2,2,1,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,3,1,1,1,1,1,5,4,1,2,3,3,1,2,3,,3,3,2,2,1,2,2,3,5,2,,,1,1,1,4,1,1,3,1,4,3,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,2,1,1,1,,3,4,2,2,2,4,4,1,201601004,7
18.40932382,3,2,1,4,3,5,6,2,1,1,1,1,2,2,1,1,2,2,4,1,1,1,1,2,1,2,3,1,1,1,1,1,5,4,1,1,1,2,1,3,1,3,3,3,2,2,1,1,3,2,4,2,1,1,1,1,1,3,1,,3,1,3,2,5,1,1,1,2,1,1,1,1,1,1,1,2,1,3,2,4,1,2,3,1,4,3,1,4,2,2,3,3,3,1,201601004,7
18.40932382,3,2,1,4,3,7,6,2,1,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,5,4,2,2,3,2,2,1,3,3,3,3,2,2,1,1,2,2,4,2,1,1,1,1,1,2,1,1,1,2,2,2,5,1,1,1,1,1,1,1,1,1,1,1,2,,2,2,1,1,1,1,1,4,3,3,3,2,2,2,4,4,2,201601004,7
18.40932382,3,2,1,4,3,8,8,2,1,1,1,1,2,2,1,1,2,2,2,2,2,1,1,2,2,2,2,2,2,1,1,1,5,2,2,1,2,1,1,1,2,2,3,1,2,2,1,1,3,2,2,2,1,1,1,1,1,4,1,1,1,1,4,2,4,1,1,1,1,1,1,1,1,1,1,1,2,1,4,2,1,2,2,1,1,4,2,2,4,2,3,1,3,3,2,201601004,7
18.40932382,3,2,1,5,1,7,8,2,1,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,1,4,2,1,1,1,1,5,4,2,1,2,1,2,3,3,2,3,3,2,2,1,1,2,2,5,2,1,1,1,1,1,4,1,1,3,1,3,2,5,1,1,1,1,1,1,1,1,1,1,1,2,1,3,2,5,2,2,1,1,4,2,2,4,2,2,3,4,4,2,201601004,7
18.40932382,3,2,1,5,1,8,8,2,1,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,2,4,1,1,1,1,1,5,4,1,1,2,2,2,3,1,2,3,3,2,2,1,1,3,2,5,2,1,1,1,1,1,3,1,1,3,1,3,2,5,1,1,1,2,1,1,1,1,1,1,1,2,1,3,2,5,2,2,1,1,4,2,2,3,1,2,2,3,3,1,201601004,7
18.40932382,4,2,1,2,4,3,3,2,1,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,4,1,1,2,1,2,1,1,2,3,3,2,2,1,1,3,2,5,2,1,1,1,1,1,3,1,1,1,1,3,2,5,1,1,1,1,1,1,1,1,1,1,1,2,1,3,3,5,1,2,5,1,4,2,2,4,1,3,3,4,4,1,201601004,7
18.40932382,4,2,1,3,1,5,4,2,1,1,1,1,2,2,1,1,2,2,1,1,1,1,1,2,1,2,4,1,1,1,1,1,1,4,1,1,2,1,1,3,1,3,1,3,2,2,1,1,1,2,5,2,1,1,1,1,1,4,1,1,3,1,1,2,5,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,5,2,2,1,1,4,2,2,4,2,2,1,3,3,1,201601004,7
18.40932382,4,2,1,3,3,5,7,2,1,1,1,1,2,2,1,1,2,2,2,1,1,1,4,1,1,2,3,1,1,1,1,1,5,4,1,1,1,2,1,3,3,3,3,2,2,2,1,1,3,3,5,2,1,1,1,1,1,2,1,1,3,1,3,3,5,1,1,1,1,1,1,1,1,1,1,1,2,1,3,3,5,1,2,3,1,4,3,3,4,1,3,3,3,3,1,201601004,7
18.40932382,4,2,1,3,3,7,7,1,5,1,1,1,2,2,2,1,2,2,1,1,1,1,1,1,1,2,3,1,1,1,1,1,5,4,1,1,3,2,2,1,2,2,3,3,2,2,1,1,4,3,5,2,1,1,1,1,1,3,1,1,3,1,3,3,5,1,1,1,1,1,1,1,1,1,1,1,2,1,3,3,5,2,2,1,1,4,1,2,4,1,2,2,3,3,1,201601004,7
18.40932382,4,2,1,3,3,7,7,2,1,1,1,1,2,2,2,1,2,2,1,1,1,1,1,5,3,2,4,1,1,1,1,1,5,4,1,1,1,2,2,3,3,2,3,3,2,2,1,1,3,3,5,2,1,1,1,1,1,4,1,1,3,4,3,3,5,1,1,1,1,1,1,1,1,1,1,1,2,1,3,3,5,1,2,1,1,4,2,2,4,1,3,1,4,4,1,201601004,7
18.40932382,4,2,1,4,1,6,6,2,1,1,1,1,2,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,4,1,1,3,3,2,3,3,2,1,3,2,2,1,1,1,3,5,2,1,1,1,1,1,4,1,1,3,1,1,3,5,1,1,1,2,1,1,1,1,1,1,1,1,1,1,3,5,1,2,1,1,4,3,3,4,2,2,2,3,3,1,201601004,7
18.40932382,4,2,1,4,3,8,8,2,1,1,1,1,2,2,1,1,2,2,1,1,1,1,5,4,2,2,2,1,1,1,1,1,1,4,1,1,2,2,2,2,2,2,3,3,2,2,1,1,3,2,5,2,1,1,1,1,1,3,1,1,1,3,2,2,5,1,1,1,1,1,1,1,1,1,1,1,2,1,3,2,5,1,2,1,1,4,1,2,4,1,2,2,3,3,1,201601004,7
18.40932382,6,2,1,1,4,5,5,2,1,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,5,4,2,2,1,3,,3,3,3,3,3,2,2,1,1,1,3,4,2,1,1,1,1,1,1,1,1,3,1,4,3,4,1,1,1,1,1,4,1,1,2,1,1,2,1,4,2,4,2,2,1,1,4,3,2,1,2,2,2,4,4,2,201601004,7
19.04955557,3,2,2,3,3,5,5,2,1,1,1,1,2,2,1,1,2,2,1,1,1,1,2,2,2,2,4,1,2,1,1,1,3,4,2,2,3,3,1,,1,1,3,2,1,2,1,1,3,3,5,2,1,1,1,1,1,4,1,1,3,1,1,2,5,1,1,,1,2,4,1,3,1,1,1,2,1,3,2,5,2,2,1,1,4,2,2,4,1,3,1,3,3,1,201601004,7
19.04955557,3,2,2,3,3,6,6,2,1,1,1,1,2,2,1,1,2,2,1,1,1,1,5,1,1,2,4,1,1,1,1,1,5,4,1,1,1,3,2,3,1,2,1,3,2,2,1,1,4,3,5,2,1,1,1,1,1,4,1,1,3,1,1,3,5,1,1,1,1,1,1,1,1,1,1,1,2,1,1,3,5,1,2,3,1,4,3,3,4,1,2,1,3,3,1,201601004,7
19.04955557,3,2,2,6,,5,7,2,1,1,1,1,2,2,2,1,2,2,1,1,1,1,1,2,1,2,4,1,1,1,1,1,5,4,1,2,3,1,2,3,3,2,3,3,2,2,3,3,4,1,3,1,3,2,4,4,4,1,3,3,1,4,4,1,5,2,1,1,1,1,1,1,1,,1,,2,,1,,5,,,4,2,4,,,4,1,1,1,1,1,1,201601004,7
19.04955557,4,2,2,2,1,3,5,2,1,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,2,4,1,2,1,1,1,5,4,2,1,1,3,2,1,1,2,3,3,2,2,1,1,3,2,5,2,1,1,1,1,1,4,1,1,3,1,3,2,5,1,1,1,1,1,1,1,1,1,1,1,2,1,1,3,5,1,2,1,1,4,1,1,4,2,3,3,3,3,1,201601004,7
19.04955557,4,2,2,2,1,4,1,2,1,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,4,1,1,1,2,2,3,3,2,3,3,2,2,1,1,2,2,5,2,1,1,1,1,1,3,1,1,1,1,3,2,5,1,1,1,2,1,1,1,1,1,1,1,2,1,2,3,5,1,2,1,1,4,3,2,4,2,3,3,4,4,1,201601004,7
19.04955557,4,2,2,2,3,2,7,2,1,1,1,1,2,2,2,1,2,2,1,2,1,1,1,3,3,2,4,1,1,1,1,1,5,3,1,1,1,3,1,2,1,2,2,2,2,2,1,1,3,2,5,2,1,1,1,1,1,4,1,1,3,1,2,2,5,1,1,1,2,1,1,1,1,1,1,1,2,1,3,2,5,2,2,3,1,4,3,,1,1,2,2,3,3,1,201601004,7
19.04955557,4,2,2,2,3,6,6,2,1,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,2,4,1,1,1,1,1,5,4,1,1,1,2,2,,2,2,3,2,2,2,1,1,3,2,5,2,1,1,1,1,1,4,1,1,3,1,1,2,5,1,1,1,1,1,1,1,1,1,1,1,2,1,3,2,5,1,2,5,1,4,3,2,4,2,2,1,4,4,1,201601004,7
